"age_id";"gender";"year_id";"Dxt_HMD"
"3";"Male";"2013";"431.04"
"3";"Male";"2014";"429.04"
"3";"Male";"2015";"462.04"
"3";"Male";"2016";"468.04"
"3";"Male";"2017";"461.03"
"3";"Male";"2018";"454.04"
"3";"Male";"2019";"390.02"
"3";"Male";"2020";"417.02"
"4";"Female";"2000";"354.02"
"4";"Female";"2001";"341.02"
"4";"Female";"2002";"319.02"
"4";"Female";"2003";"329.02"
"4";"Female";"2004";"322.19"
"4";"Female";"2005";"304.02"
"4";"Female";"2006";"313.02"
"4";"Female";"2007";"291.02"
"4";"Female";"2008";"305.01"
"4";"Female";"2009";"299.02"
"4";"Female";"2010";"268"
"4";"Female";"2011";"298"
"4";"Female";"2012";"278.01"
"4";"Female";"2013";"271"
"4";"Female";"2014";"259.02"
"4";"Female";"2015";"248"
"4";"Female";"2016";"298"
"4";"Female";"2017";"273"
"4";"Female";"2018";"244"
"4";"Female";"2019";"265"
"4";"Female";"2020";"238"
"4";"Male";"2000";"430.11"
"4";"Male";"2001";"478.13"
"4";"Male";"2002";"460.11"
"4";"Male";"2003";"431.82"
"4";"Male";"2004";"416.44"
"4";"Male";"2005";"418.06"
"4";"Male";"2006";"395.56"
"4";"Male";"2007";"412.05"
"4";"Male";"2008";"393.04"
"4";"Male";"2009";"370.06"
"4";"Male";"2010";"366.02"
"4";"Male";"2011";"376.03"
"4";"Male";"2012";"414.03"
"4";"Male";"2013";"374.02"
"4";"Male";"2014";"385.03"
"4";"Male";"2015";"341.02"
"4";"Male";"2016";"342.02"
"4";"Male";"2017";"325.02"
"4";"Male";"2018";"346.02"
"4";"Male";"2019";"311.02"
"4";"Male";"2020";"312.02"
"5";"Female";"2000";"314.02"
"5";"Female";"2001";"286.02"
"5";"Female";"2002";"306.01"
"5";"Female";"2003";"268.02"
"5";"Female";"2004";"303.85"
"5";"Female";"2005";"260.01"
"5";"Female";"2006";"279.02"
"5";"Female";"2007";"250"
"5";"Female";"2008";"254"
"5";"Female";"2009";"268.02"
"5";"Female";"2010";"208"
"5";"Female";"2011";"245"
"5";"Female";"2012";"248"
"5";"Female";"2013";"250"
"5";"Female";"2014";"241"
"5";"Female";"2015";"222"
"5";"Female";"2016";"256"
"5";"Female";"2017";"211"
"5";"Female";"2018";"230"
"5";"Female";"2019";"245"
"5";"Female";"2020";"210"
"5";"Male";"2000";"429.1"
"5";"Male";"2001";"383.1"
"5";"Male";"2002";"369.08"
"5";"Male";"2003";"380.08"
"5";"Male";"2004";"353.73"
"5";"Male";"2005";"338.06"
"5";"Male";"2006";"406.06"
"5";"Male";"2007";"345.04"
"5";"Male";"2008";"314.02"
"5";"Male";"2009";"318.04"
"5";"Male";"2010";"292.02"
"5";"Male";"2011";"326.02"
"5";"Male";"2012";"299.02"
"5";"Male";"2013";"315.02"
"5";"Male";"2014";"291.02"
"5";"Male";"2015";"321.02"
"5";"Male";"2016";"290.02"
"5";"Male";"2017";"300.02"
"5";"Male";"2018";"294.02"
"5";"Male";"2019";"291.02"
"5";"Male";"2020";"306.02"
"6";"Female";"2000";"273.02"
"6";"Female";"2001";"283.02"
"6";"Female";"2002";"243.01"
"6";"Female";"2003";"240.02"
"6";"Female";"2004";"250.02"
"6";"Female";"2005";"288.02"
"6";"Female";"2006";"260.01"
"6";"Female";"2007";"256"
"6";"Female";"2008";"227"
"6";"Female";"2009";"247.02"
"6";"Female";"2010";"211.01"
"6";"Female";"2011";"219"
"6";"Female";"2012";"203"
"6";"Female";"2013";"226"
"6";"Female";"2014";"202"
"6";"Female";"2015";"233"
"6";"Female";"2016";"206"
"6";"Female";"2017";"213"
"6";"Female";"2018";"212"
"6";"Female";"2019";"224"
"6";"Female";"2020";"198"
"6";"Male";"2000";"380.09"
"6";"Male";"2001";"352.1"
"6";"Male";"2002";"325.08"
"6";"Male";"2003";"341.08"
"6";"Male";"2004";"350.08"
"6";"Male";"2005";"331.05"
"6";"Male";"2006";"284.04"
"6";"Male";"2007";"314.04"
"6";"Male";"2008";"270.02"
"6";"Male";"2009";"275.04"
"6";"Male";"2010";"255.02"
"6";"Male";"2011";"283.02"
"6";"Male";"2012";"243.02"
"6";"Male";"2013";"275.02"
"6";"Male";"2014";"271.02"
"6";"Male";"2015";"283.02"
"6";"Male";"2016";"282.02"
"6";"Male";"2017";"242.02"
"6";"Male";"2018";"248.02"
"6";"Male";"2019";"266.02"
"6";"Male";"2020";"252.02"
"7";"Female";"2000";"294.02"
"7";"Female";"2001";"275.02"
"7";"Female";"2002";"239.02"
"7";"Female";"2003";"256.02"
"7";"Female";"2004";"227.02"
"7";"Female";"2005";"256.01"
"7";"Female";"2006";"222"
"7";"Female";"2007";"231"
"7";"Female";"2008";"216"
"7";"Female";"2009";"187.02"
"7";"Female";"2010";"193"
"7";"Female";"2011";"202"
"7";"Female";"2012";"173"
"7";"Female";"2013";"190"
"7";"Female";"2014";"188"
"7";"Female";"2015";"207"
