"age";"s";"s1";"s2";"s1_s2";"s1_d";"s2_d"
0;0.0700046245103204;0.0676247928769163;0.0727073592986228;0.0701660760877695;0.0726506584308529;0.0676775694356109
1;0.00720804403578746;0.00696093287688976;0.00748883856772829;0.00722488572230902;0.0074816586444013;0.00696761293378759
2;0.00409303692270814;0.00395086799180028;0.00425458568196907;0.00410272683688468;0.00425018621676413;0.00395495784710324
3;0.00330715681404997;0.00319075572515499;0.00343942988552964;0.00331509280534232;0.00343570307339253;0.00319421746774937
4;0.00279195031600081;0.00269235619662884;0.0029051306526927;0.00279874342466077;0.00290185919012092;0.00269538994743058
5;0.00296926385121371;0.0028618921121107;0.00309127988818928;0.00297658600014999;0.00308767613024883;0.00286523320417112
6;0.00142649519033122;0.00137419706928508;0.001485928295846;0.00143006268256554;0.00148415020569224;0.00137584239459873
7;0.00147989928267363;0.00142487914525903;0.00154242768661945;0.00148365341593924;0.00154055020249663;0.00142661699412723
8;6.23352797998721e-05;5.99847683892059e-05;6.50067256597919e-05;6.24957470244989e-05;6.49268581010703e-05;6.00585136726035e-05
9;0.00151710812892473;0.00145907104550102;0.00158306589061598;0.0015210684680585;0.00158110375818492;0.00146088267568367
10;0.00200682376687568;0.00192892757919091;0.00209536231700645;0.00201214494809868;0.00209270774346663;0.00193137292291666
11;0.00315521000766444;0.00303091328776465;0.0032964941914902;0.00316370373962742;0.00329219010674989;0.00303487421792141
12;0.00170941353707395;0.00164105062149132;0.00178711547065996;0.00171408304607564;0.0017847174182185;0.00164325812554848
13;0.00505745142960687;0.00485208919445751;0.00529088488573808;0.0050714870400978;0.00528349980263988;0.00485886943289693
14;0.00912178812361259;0.00874560873244023;0.00954940133108057;0.0091475050317604;0.0095349943690605;0.00875882053111706
15;0.0128375347023328;0.0122997450342471;0.0134488723960235;0.0128743087151353;0.0134262095932293;0.0123205060458004
16;0.0201052057232472;0.019249443353199;0.0210780324861666;0.0201637379196828;0.0210368292447858;0.0192871514277325
17;0.0279369051334824;0.0267284760261897;0.0293107257739974;0.0280196009000936;0.0292416957059222;0.0267915682230726
18;0.0393465576750095;0.0376166457275659;0.0413133357705537;0.0394649907490598;0.0411925499759974;0.0377269538234381
19;0.0480131870579924;0.0458672525187734;0.0504531470847853;0.0481601998017794;0.050267759196169;0.0460364071240606
20;0.0513464036519994;0.0490131806005193;0.0539995633572605;0.0515063719788899;0.0537543232846893;0.0492367943113162
21;0.056520751632817;0.0539092195381232;0.0594907274909295;0.0566999735145264;0.0591635877356518;0.0542072973365177
22;0.0581470527840335;0.0554149248626763;0.0612545982638104;0.0583347615632434;0.0608543908285112;0.0557793599081376
